order|name|line|col|start_x|end_x|start_y|end_y
1|select|1|1|0|31|0|31
2|line|1|2|32|63|0|31
3|rectangle|1|3|64|95|0|31
4|surface_rect|1|4|96|127|0|31
5|offset|1|5|128|159|0|31
6|quad|2|1|0|31|32|63
7|circle|2|2|32|63|32|63
8|push_pull|2|3|64|95|32|63
9|move|2|4|96|127|32|63
10|unused-1|2|5|128|159|32|63
11|rotate|3|1|0|31|64|95
12|scale|3|2|32|63|64|95
13|paint|3|3|64|95|64|95
14|eraser|3|4|96|127|64|95
15|unused-2|3|5|128|159|64|95
16|cleanup|4|1|0|31|96|127
17|color|4|2|32|63|96|127
18|delete|4|3|64|95|96|127
19|flip_faces|4|4|96|127|96|127
20|unused-3|4|5|128|159|96|127
21|lighting|5|1|0|31|128|159
22|plugins|5|2|32|63|128|159
23|text|5|3|64|95|128|159
24|dimension|5|4|96|127|128|159
25|unused-4|5|5|128|159|128|159
26|stretch|6|1|0|31|160|191
27|skew|6|2|32|63|160|191
28|double_line|6|3|64|95|160|191
29|polyline|6|4|96|127|160|191
30|unused-5|6|5|128|159|160|191
